#          time             L^2_Ham             L^2_Mom
  63.5000000000    4.6044816606e-08    6.5093263737e-07
  64.0000000000    4.6062582986e-08    6.5776234697e-07
  64.5000000000    4.6069963439e-08    6.6462679063e-07
  65.0000000000    4.6084730431e-08    6.7304850284e-07
  65.5000000000    4.6123683363e-08    6.8140946008e-07
  66.0000000000    4.6156947917e-08    6.8593646113e-07
  66.5000000000    4.6181680652e-08    6.9220512097e-07
  67.0000000000    4.6212360099e-08    7.0528234366e-07
  67.5000000000    4.6242408915e-08    7.0600838255e-07
  68.0000000000    4.6299500935e-08    7.1459550278e-07
  68.5000000000    4.6318525919e-08    7.2195943626e-07
  69.0000000000    4.6349000570e-08    7.2563132476e-07
  69.5000000000    4.6379019798e-08    7.3303725766e-07
  70.0000000000    4.6428798094e-08    7.6213295355e-07
  70.5000000000    4.6473502632e-08    7.4703911050e-07
  71.0000000000    4.6508416852e-08    7.5286363882e-07
  71.5000000000    4.6542811637e-08    7.5984865976e-07
  72.0000000000    4.6597711793e-08    7.6685638498e-07
  72.5000000000    4.6639300076e-08    7.7354968027e-07
  73.0000000000    4.6667965439e-08    7.8055524788e-07
  73.5000000000    4.6714770158e-08    7.8778408914e-07
  74.0000000000    4.6736821147e-08    7.9498395483e-07
  74.5000000000    4.6782752595e-08    8.1850791977e-07
  75.0000000000    4.6829625700e-08    8.1322272291e-07
  75.5000000000    4.6866375591e-08    8.1717587052e-07
  76.0000000000    4.6907202433e-08    8.2329828546e-07
  76.5000000000    4.6960167697e-08    8.4124044475e-07
  77.0000000000    4.6997663916e-08    8.3664330549e-07
  77.5000000000    4.7038056142e-08    8.4381122424e-07
  78.0000000000    4.7073706320e-08    8.5271996450e-07
  78.5000000000    4.7117412159e-08    8.5707508701e-07
  79.0000000000    4.7156612010e-08    8.6427398795e-07
  79.5000000000    4.7210442921e-08    8.8948672882e-07
  80.0000000000    4.7262856693e-08    8.8354497726e-07
  80.5000000000    4.7307288527e-08    8.8714032563e-07
  81.0000000000    4.7351132022e-08    8.9338450361e-07
  81.5000000000    4.7395950496e-08    8.9861070916e-07
  82.0000000000    4.7440995421e-08    9.0611322370e-07
  82.5000000000    4.7487443057e-08    9.1366079285e-07
  83.0000000000    4.7537040709e-08    9.2076186942e-07
  83.5000000000    4.7584265185e-08    9.2801403881e-07
  84.0000000000    4.7634904412e-08    9.3530310208e-07
  84.5000000000    4.7691817850e-08    9.4471276606e-07
  85.0000000000    4.7754256018e-08    9.5535220634e-07
  85.5000000000    4.7805555666e-08    9.5823363545e-07
  86.0000000000    4.7896933018e-08    9.8223507505e-07
  86.5000000000    4.7943881017e-08    9.7002954858e-07
  87.0000000000    4.7991630477e-08    9.7718126036e-07
  87.5000000000    4.8099678017e-08    9.9461406566e-07
  88.0000000000    4.8133871035e-08    9.9738977640e-07
  88.5000000000    4.8186473746e-08    9.9828008024e-07
  89.0000000000    4.8230523326e-08    1.0249791907e-06
  89.5000000000    4.8310661326e-08    1.0515739381e-06
  90.0000000000    4.8771655352e-08    1.0253775082e-06
  90.5000000000    4.8741789642e-08    1.0294142087e-06
  91.0000000000    4.8638868416e-08    1.0334299044e-06
  91.5000000000    4.8610589839e-08    1.0408440572e-06
  92.0000000000    4.8743996186e-08    1.0478702175e-06
  92.5000000000    4.8683047113e-08    1.0547952935e-06
  93.0000000000    4.8782097376e-08    1.0636606642e-06
  93.5000000000    4.8833229759e-08    1.0697635118e-06
