#          time             L^2_Ham             L^2_Mom
 136.0000000000    1.2655473708e-09    1.0664704440e-09
 136.5000000000    1.0246545619e-09    1.3115463789e-09
 137.0000000000    1.1975860686e-09    1.0019320723e-09
 137.5000000000    1.0914802467e-09    1.1821026583e-09
 138.0000000000    1.2267256401e-09    9.7912269893e-10
 138.5000000000    1.0356637765e-09    1.1172957043e-09
 139.0000000000    1.1471718012e-09    9.9095704330e-10
 139.5000000000    1.0711006265e-09    1.0861684367e-09
 140.0000000000    1.2026423843e-09    9.7422249812e-10
 140.5000000000    1.1161068814e-09    1.0151781338e-09
 141.0000000000    1.1083641472e-09    9.4666620550e-10
 141.5000000000    1.0919235106e-09    9.7783660337e-10
 142.0000000000    1.1109161016e-09    8.8887162289e-10
 142.5000000000    1.1167232347e-09    8.1762380758e-10
 143.0000000000    1.1406919553e-09    7.7199842610e-10
 143.5000000000    1.2048112621e-09    7.2141242071e-10
 144.0000000000    1.2392168863e-09    6.9663921646e-10
 144.5000000000    1.3239372379e-09    6.6609140738e-10
 145.0000000000    1.4935658221e-09    6.3228259300e-10
 145.5000000000    1.3333942712e-09    6.6437320264e-10
 146.0000000000    1.5531613419e-09    6.2118159005e-10
 146.5000000000    1.6291402317e-09    6.5868264937e-10
 147.0000000000    1.4963160315e-09    6.2900608709e-10
 147.5000000000    1.5514340795e-09    6.5518019261e-10
 148.0000000000    1.5857825087e-09    6.4511102529e-10
 148.5000000000    1.6649069635e-09    6.4243493721e-10
 149.0000000000    1.5464409140e-09    6.6549491522e-10
 149.5000000000    1.6296765315e-09    6.7770606025e-10
 150.0000000000    1.7227515166e-09    6.6116382108e-10
 150.5000000000    1.7196450378e-09    6.3223149698e-10
 151.0000000000    1.7434133805e-09    6.0312480420e-10
 151.5000000000    1.7246288386e-09    5.8577776217e-10
 152.0000000000    1.8180123798e-09    5.5314386339e-10
 152.5000000000    1.7153812300e-09    5.5044545644e-10
 153.0000000000    1.6470721927e-09    5.3036025614e-10
 153.5000000000    1.6727676495e-09    5.1572637380e-10
 154.0000000000    1.4635293197e-09    5.0800373762e-10
 154.5000000000    1.4265628216e-09    4.8427534023e-10
 155.0000000000    1.3036748839e-09    4.8622911011e-10
 155.5000000000    1.2360441903e-09    4.5849467684e-10
 156.0000000000    1.1534871042e-09    4.5511756648e-10
 156.5000000000    1.0900354652e-09    4.4085825384e-10
 157.0000000000    1.0549174214e-09    4.3004529748e-10
 157.5000000000    1.0081189449e-09    4.2484310936e-10
 158.0000000000    9.8961678180e-10    4.1657520695e-10
 158.5000000000    9.5306286318e-10    4.1210383489e-10
 159.0000000000    9.3166886828e-10    4.1255105090e-10
 159.5000000000    8.8192479827e-10    4.1049776543e-10
 160.0000000000    8.6196050645e-10    4.0091924666e-10
 160.5000000000    8.0933562543e-10    3.9125377924e-10
 161.0000000000    8.0115919981e-10    3.9670156613e-10
 161.5000000000    7.6727833724e-10    3.7681404689e-10
 162.0000000000    7.6393080236e-10    3.8762548569e-10
 162.5000000000    7.4305537199e-10    3.8060361698e-10
 163.0000000000    7.4508543797e-10    3.8030374452e-10
 163.5000000000    7.3263653621e-10    3.7609280378e-10
 164.0000000000    7.1757763440e-10    3.8574213201e-10
 164.5000000000    7.0198477998e-10    3.6931150544e-10
 165.0000000000    6.9512887095e-10    3.7560662299e-10
 165.5000000000    6.8870765041e-10    3.7614820829e-10
 166.0000000000    6.8915318626e-10    3.7185666303e-10
 166.5000000000    6.8722729455e-10    3.6996512379e-10
 167.0000000000    6.8413627502e-10    3.7612048009e-10
