#          time             L^2_Ham             L^2_Mom
  27.0000000000    3.0188378939e-07    5.5628761576e-06
  27.5000000000    3.0537777785e-07    5.6295817284e-06
  28.0000000000    3.0919227049e-07    5.6969942641e-06
  28.5000000000    3.1328265288e-07    5.7650171519e-06
  29.0000000000    3.1738109991e-07    5.8334588216e-06
  29.5000000000    3.2163682833e-07    5.9023470042e-06
  30.0000000000    3.2620309391e-07    5.9714844227e-06
  30.5000000000    3.3160308695e-07    6.0415646087e-06
  31.0000000000    3.3630799306e-07    6.1128205629e-06
  31.5000000000    3.4107372606e-07    6.1833893327e-06
  32.0000000000    3.4633028477e-07    6.2523445222e-06
  32.5000000000    3.5153968965e-07    6.3218432055e-06
  33.0000000000    3.5631126473e-07    6.3935037685e-06
  33.5000000000    3.6164847734e-07    6.4641414954e-06
  34.0000000000    3.6607344755e-07    6.5358485614e-06
  34.5000000000    3.6972279807e-07    6.6094705435e-06
  35.0000000000    3.7531276150e-07    6.6793192019e-06
  35.5000000000    3.7806898234e-07    6.7616967313e-06
  36.0000000000    3.8154959754e-07    6.8278113079e-06
  36.5000000000    3.8491258839e-07    6.9030047788e-06
  37.0000000000    3.8792688043e-07    6.9681506017e-06
  37.5000000000    3.9095963652e-07    7.0391443318e-06
  38.0000000000    3.9352274702e-07    7.1109388135e-06
  38.5000000000    3.9627158280e-07    7.1831983484e-06
  39.0000000000    3.9880625712e-07    7.2557593502e-06
  39.5000000000    4.0113055198e-07    7.3282398965e-06
  40.0000000000    4.0339909308e-07    7.4103640683e-06
  40.5000000000    4.0625196019e-07    7.4783248948e-06
  41.0000000000    4.0893495140e-07    7.5474869470e-06
  41.5000000000    4.1150025449e-07    7.6206729970e-06
  42.0000000000    4.1422037345e-07    7.6941000421e-06
  42.5000000000    4.1712213394e-07    7.7641081552e-06
  43.0000000000    4.2008091014e-07    7.8365193253e-06
  43.5000000000    4.2336814984e-07    7.9085158777e-06
  44.0000000000    4.2607722831e-07    7.9816887946e-06
  44.5000000000    4.2892487218e-07    8.0538948597e-06
  45.0000000000    4.3245723512e-07    8.1305852033e-06
  45.5000000000    4.3568464468e-07    8.1993324651e-06
  46.0000000000    4.3861826919e-07    8.2693535735e-06
  46.5000000000    4.4168519289e-07    8.3496572437e-06
  47.0000000000    4.4460408231e-07    8.4231319521e-06
  47.5000000000    4.4763665883e-07    8.5035356421e-06
  48.0000000000    4.5101446136e-07    8.5589674433e-06
  48.5000000000    4.5454994128e-07    8.6337180274e-06
  49.0000000000    4.5776417775e-07    8.7070911110e-06
  49.5000000000    4.6083326915e-07    8.7971228281e-06
  50.0000000000    4.6408106866e-07    8.8570631764e-06
  50.5000000000    4.6750226061e-07    8.9206295612e-06
  51.0000000000    4.7079204570e-07    8.9878746914e-06
  51.5000000000    4.7402146553e-07    9.0572868167e-06
  52.0000000000    4.7730374537e-07    9.1280846246e-06
  52.5000000000    4.8091589836e-07    9.2025887430e-06
  53.0000000000    4.8418113360e-07    9.2717060728e-06
  53.5000000000    4.8760590830e-07    9.3418772388e-06
  54.0000000000    4.9118009109e-07    9.4133415587e-06
  54.5000000000    4.9481646197e-07    9.4833794314e-06
  55.0000000000    4.9822314279e-07    9.5458839596e-06
  55.5000000000    5.0137836427e-07    9.6138825957e-06
  56.0000000000    5.0434624299e-07    9.6800321675e-06
  56.5000000000    5.0795950303e-07    9.7480087162e-06
  57.0000000000    5.1142441980e-07    9.8212583570e-06
  57.5000000000    5.1433815574e-07    9.8834819761e-06
  58.0000000000    5.1693789514e-07    9.9433679251e-06
  58.5000000000    5.1989989136e-07    1.0005837738e-05
  59.0000000000    5.2272590415e-07    1.0067391307e-05
  59.5000000000    5.2598684020e-07    1.0126439060e-05
  60.0000000000    5.2922264547e-07    1.0191073781e-05
  60.5000000000    5.3263071404e-07    1.0260080369e-05
  61.0000000000    5.3622027813e-07    1.0330431992e-05
  61.5000000000    5.3976576981e-07    1.0400351380e-05
  62.0000000000    5.4312285967e-07    1.0469346349e-05
  62.5000000000    5.4664386453e-07    1.0610714369e-05
  63.0000000000    5.4979742791e-07    1.0613094015e-05
  63.5000000000    5.5300290810e-07    1.0675644911e-05
  64.0000000000    5.5639205224e-07    1.0735318899e-05
  64.5000000000    5.5997367683e-07    1.0798566226e-05
  65.0000000000    5.6325627397e-07    1.0866705063e-05
  65.5000000000    5.6681632583e-07    1.0928291804e-05
  66.0000000000    5.7026144831e-07    1.0995742598e-05
  66.5000000000    5.7388052000e-07    1.1058937661e-05
  67.0000000000    5.7730928963e-07    1.1125347479e-05
  67.5000000000    5.8074069076e-07    1.1210461546e-05
  68.0000000000    5.8414195172e-07    1.1263153897e-05
  68.5000000000    5.8760459066e-07    1.1384036233e-05
  69.0000000000    5.9093080738e-07    1.1420420762e-05
  69.5000000000    5.9440467169e-07    1.1461057074e-05
  70.0000000000    5.9792576565e-07    1.1640433168e-05
  70.5000000000    6.0136015827e-07    1.1626511308e-05
  71.0000000000    6.0458134037e-07    1.1654284684e-05
